Day,Boston Red Sox: (United States),Colorado Rockies: (United States),Detroit Tigers: (United States),Houston Astros: (United States),Kansas City Royals: (United States)
10/1/2013,3,<1,2,<1,1
10/2/2013,3,<1,2,<1,1
10/3/2013,5,<1,2,<1,1
10/4/2013,14,<1,3,<1,1
10/5/2013,15,<1,10,<1,1
10/6/2013,10,<1,9,<1,1
10/7/2013,8,<1,12,<1,1
10/8/2013,15,<1,9,<1,1
10/9/2013,20,<1,9,<1,1
10/10/2013,6,<1,6,<1,1
10/11/2013,7,<1,18,<1,1
10/12/2013,11,<1,8,<1,1
10/13/2013,28,<1,22,<1,1
10/14/2013,29,<1,18,<1,1
10/15/2013,23,<1,15,<1,1
10/16/2013,18,<1,12,<1,1
10/17/2013,24,<1,20,<1,1
10/18/2013,31,<1,20,<1,1
10/19/2013,35,<1,17,<1,1
10/20/2013,67,<1,27,<1,1
10/21/2013,11,<1,5,<1,1
10/22/2013,8,<1,2,<1,1
10/23/2013,17,<1,1,<1,1
10/24/2013,47,<1,1,<1,1
10/25/2013,41,<1,1,<1,1
10/26/2013,17,<1,1,<1,1
10/27/2013,56,<1,1,<1,1
10/28/2013,45,<1,1,<1,1
10/29/2013,42,<1,1,<1,1
10/30/2013,24,<1,1,<1,1
10/31/2013,100,<1,1,<1,1
