Day,San Francisco Giants: (United States),Kansas City Royals: (United States),Los Angeles Angels: (United States),Los Angeles Dodgers: (United States),Miami Marlins: (United States)
10/1/2010,12,1,2,3,1
10/2/2010,32,1,2,4,1
10/3/2010,34,1,2,3,1
10/4/2010,21,1,2,2,1
10/5/2010,10,<1,1,2,<1
10/6/2010,7,<1,1,1,1
10/7/2010,13,<1,1,2,1
10/8/2010,29,<1,1,2,<1
10/9/2010,33,<1,1,2,<1
10/10/2010,33,1,1,1,<1
10/11/2010,25,<1,1,1,<1
10/12/2010,27,<1,1,1,<1
10/13/2010,10,<1,1,1,1
10/14/2010,9,<1,1,1,<1
10/15/2010,9,<1,1,1,<1
10/16/2010,20,1,2,1,<1
10/17/2010,47,1,1,2,<1
10/18/2010,24,<1,1,1,<1
10/19/2010,42,<1,1,1,1
10/20/2010,25,<1,1,2,1
10/21/2010,60,<1,1,2,<1
10/22/2010,51,<1,1,1,<1
10/23/2010,53,<1,1,1,1
10/24/2010,100,<1,2,2,1
10/25/2010,22,<1,2,1,<1
10/26/2010,22,<1,1,1,<1
10/27/2010,27,<1,1,2,<1
10/28/2010,71,<1,2,1,<1
10/29/2010,56,<1,1,2,1
10/30/2010,36,<1,1,1,<1
10/31/2010,43,<1,1,1,<1
11/1/2010,55,<1,2,1,<1
11/2/2010,95,<1,2,3,1
