Day,St. Louis Cardinals: (United States),Arizona Diamondbacks: (United States),Athletics: (United States),Atlanta Braves: (United States),Baltimore Orioles: (United States)
9/30/2011,8,3,1,4,2
10/1/2011,15,7,1,3,1
10/2/2011,14,5,1,2,1
10/3/2011,17,3,1,2,1
10/4/2011,16,3,1,2,1
10/5/2011,17,8,1,2,1
10/6/2011,17,10,<1,2,1
10/7/2011,17,11,1,2,1
10/8/2011,46,11,1,3,1
10/9/2011,25,1,1,2,1
10/10/2011,14,1,1,2,1
10/11/2011,18,1,<1,2,1
10/12/2011,14,1,1,1,1
10/13/2011,26,1,1,2,1
10/14/2011,23,1,1,2,1
10/15/2011,27,1,1,1,1
10/16/2011,29,<1,1,2,1
10/17/2011,47,<1,<1,2,1
10/18/2011,14,<1,<1,2,1
10/19/2011,19,<1,<1,2,1
10/20/2011,36,1,<1,2,1
10/21/2011,27,<1,<1,2,1
10/22/2011,13,<1,<1,2,1
10/23/2011,41,1,1,2,1
10/24/2011,20,<1,1,2,1
10/25/2011,25,<1,<1,2,1
10/26/2011,16,<1,<1,2,1
10/27/2011,15,<1,<1,2,1
10/28/2011,81,1,<1,2,1
10/29/2011,100,1,1,3,1
